Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,317.1,330.4,312.1,328.3,1087140.698,1653436799999000000,350658423.566,360566,537662.604,173422460.3828,0
05/25/2022,328.3,337.9,324.0,325.7,1057736.755,1653523199999000000,348647272.3531,324800,530208.977,174746230.1103,0
05/26/2022,325.7,331.8,296.7,303.0,1539437.598,1653609599999000000,482675425.1862,472567,747810.221,234494191.2053,0
05/27/2022,303.0,309.8,290.6,301.6,1460549.008,1653695999999000000,439011128.0486,485013,713409.448,214453050.0109,0
05/28/2022,301.5,310.5,296.9,307.5,601654.504,1653782399999000000,182686636.394,238331,298145.657,90552519.2608,0
05/29/2022,307.6,308.2,298.6,305.8,519507.747,1653868799999000000,157551407.3438,223923,260088.838,78883001.3772,0
05/30/2022,305.9,324.0,303.9,321.8,1006928.231,1653955199999000000,318483358.1724,359039,521569.372,164970707.8702,0
05/31/2022,321.8,324.8,313.5,320.9,701746.39,1654041599999000000,224420165.5609,351755,348392.686,111439808.4767,0
06/01/2022,321.0,324.5,297.6,300.4,817984.609,1654127999999000000,254597660.7454,352811,399937.208,124452671.4438,0
06/02/2022,300.5,309.2,298.2,308.3,477670.4,1654214399999000000,144758528.4928,245840,239176.989,72491925.9285,0
06/03/2022,308.4,310.3,293.3,298.6,468996.677,1654300799999000000,140826605.1582,240420,230771.492,69269731.2435,0
06/04/2022,298.6,302.9,294.8,301.3,293533.108,1654387199999000000,87900097.3429,170227,151480.095,45365466.3185,0
06/05/2022,301.4,302.5,295.0,299.1,269695.901,1654473599999000000,80515666.7129,172367,134680.715,40214711.4824,0
06/06/2022,299.1,312.3,288.0,295.1,758590.86,1654559999999000000,229336066.1504,357412,373799.032,113119808.0166,0
06/07/2022,295.1,295.9,273.5,290.3,969784.619,1654646399999000000,276622300.0833,415694,473595.14,135155330.3518,0
06/08/2022,290.3,294.6,283.9,288.5,509510.455,1654732799999000000,147774213.8302,267476,264647.471,76767359.4464,0
06/09/2022,288.5,293.4,286.3,289.9,335495.073,1654819199999000000,97246541.1366,191304,180648.997,52363493.5402,0
06/10/2022,289.9,298.9,283.2,286.4,817523.364,1654905599999000000,236828890.8988,339014,428427.936,124191348.8107,0
06/11/2022,286.4,290.6,265.2,269.9,584351.456,1654991999999000000,161677600.7792,269404,282490.702,78108324.821,0
06/12/2022,269.9,272.0,251.1,254.8,827755.035,1655078399999000000,215061279.4901,344673,401769.922,104428494.9121,0
06/13/2022,254.8,257.8,213.2,223.0,2377589.4089,1655164799999000000,546805495.733613,738817,1158626.7144,266643449.16123,0
06/14/2022,222.9,231.4,204.1,223.0,1922025.0844,1655251199999000000,422925306.5654336,587234,954336.2071,210152823.37454,0
06/15/2022,223.1,234.7,198.4,233.6,2105397.5515,1655337599999000000,448547539.3195364,667284,1042847.422,222543475.5724,0
06/16/2022,233.6,237.2,207.7,210.2,975592.873,1655423999999000000,214986177.6497,356855,476983.002,105063970.1662,0
06/17/2022,210.3,222.1,207.7,215.8,690834.308,1655510399999000000,149392114.506,249702,349047.83,75507206.0331,0
06/18/2022,215.8,219.0,183.4,197.0,1404690.4959,1655596799999000000,279072472.256769,457262,668746.69,132878870.4645,0
06/19/2022,197.0,217.0,189.7,215.1,1102166.171,1655683199999000000,224920974.6115,354926,569294.167,116236550.8208,0
06/20/2022,215.1,219.8,204.8,216.5,880400.844,1655769599999000000,187322962.2861,315623,437645.957,93089774.7158,0
06/21/2022,216.5,228.4,213.1,220.1,829003.565,1655855999999000000,183872676.7358,302528,436736.138,96923457.7983,0
06/22/2022,220.2,221.0,211.2,214.4,690466.465,1655942399999000000,149052138.7577,251238,349225.642,75374483.4944,0
06/23/2022,214.4,231.7,214.0,228.9,783796.952,1656028799999000000,175743668.5606,299259,415136.143,93146096.331,0
