Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,16.169,16.293,16.143,16.24,19096059.0,1653436799999000000,310031184.941,58613,10489182.0,170288000.381,0
05/25/2022,16.241,16.465,16.12,16.448,29655646.0,1653523199999000000,485820226.696,83075,15451734.0,253172747.24,0
05/26/2022,16.449,16.69,16.383,16.578,39940255.0,1653609599999000000,660487677.037,92608,22724806.0,375841296.524,0
05/27/2022,16.578,16.623,16.397,16.492,25404544.0,1653695999999000000,419611696.224,58802,15164022.0,250456467.855,0
05/28/2022,16.492,16.492,16.373,16.401,12877335.0,1653782399999000000,211505730.244,43665,6313955.0,103703904.22,0
05/29/2022,16.401,16.481,16.33,16.431,22402813.0,1653868799999000000,367490930.18,72423,11263802.0,184788998.705,0
05/30/2022,16.431,16.457,16.295,16.366,36983335.0,1653955199999000000,605792313.836,117739,17551882.0,287517643.075,0
05/31/2022,16.366,16.55,16.312,16.456,42105872.0,1654041599999000000,692657318.509,137199,21603709.0,355418823.821,0
06/01/2022,16.456,16.604,16.448,16.601,33746859.0,1654127999999000000,557983862.349,96077,18030006.0,298181693.825,0
06/02/2022,16.601,16.63,16.581,16.619,27887858.0,1654214399999000000,462978069.562,75295,14028900.0,232913796.628,0
06/03/2022,16.618,16.69,16.588,16.639,28845290.0,1654300799999000000,479786992.84,78358,15132487.0,251730677.0,0
06/04/2022,16.639,16.668,16.587,16.62,20577205.0,1654387199999000000,342085889.673,68718,10340982.0,171928078.119,0
06/05/2022,16.62,16.646,16.613,16.637,21500087.0,1654473599999000000,357602352.89,60609,11071056.0,184149348.726,0
06/06/2022,16.637,16.674,16.533,16.661,31279578.0,1654559999999000000,519270584.075,84664,15231914.0,252895456.787,0
06/07/2022,16.661,16.886,16.661,16.885,42000052.0,1654646399999000000,705944318.451,106392,21824613.0,366807571.089,0
06/08/2022,16.885,17.33,16.828,17.265,41246867.0,1654732799999000000,705551470.307,92887,21378435.0,365665909.9,0
06/09/2022,17.265,17.333,16.162,17.213,71047093.0,1654819199999000000,1205545744.884,130448,35109297.0,595920948.759,0
06/10/2022,17.214,17.344,16.8,17.343,43980972.0,1654905599999000000,755228058.575,93896,23950464.0,411336676.697,0
06/11/2022,17.343,17.449,17.268,17.442,29078562.0,1654991999999000000,505179653.582,64789,15788741.0,274333516.556,0
06/12/2022,17.442,17.52,17.387,17.506,33565273.0,1655078399999000000,586539600.334,69662,18436293.0,322183143.478,0
06/13/2022,17.506,17.709,17.443,17.551,46614171.0,1655164799999000000,818134485.186,87265,27650539.0,485350799.284,0
06/14/2022,17.554,17.574,17.4,17.445,29724289.0,1655251199999000000,519114888.593,74282,17445254.0,304687594.104,0
06/15/2022,17.446,17.56,17.362,17.367,36981388.0,1655337599999000000,646226626.914,84525,21826991.0,381540348.221,0
06/16/2022,17.366,17.519,17.305,17.505,27771155.0,1655423999999000000,484914269.678,60125,17009320.0,297113958.741,0
06/17/2022,17.505,17.511,17.393,17.496,20539276.0,1655510399999000000,358666593.294,48179,11272986.0,196859561.604,0
06/18/2022,17.496,17.6,17.468,17.544,22283454.0,1655596799999000000,391380788.584,56669,14105936.0,247778228.791,0
06/19/2022,17.543,17.596,17.405,17.48,22440304.0,1655683199999000000,393078508.311,60082,10462659.0,183322706.253,0
06/20/2022,17.48,17.52,17.411,17.424,23050806.0,1655769599999000000,402543694.672,56717,11124486.0,194307774.158,0
06/21/2022,17.424,17.507,17.372,17.472,27279116.0,1655855999999000000,475514520.528,67313,14372719.0,250586473.926,0
06/22/2022,17.472,17.517,17.427,17.504,23277489.0,1655942399999000000,406776307.269,55827,12913720.0,225696387.942,0
06/23/2022,17.504,17.506,17.377,17.381,25147549.0,1656028799999000000,438633254.36,59995,11873161.0,207122938.83,0
06/24/2022,17.381,17.435,16.509,16.948,42551248.0,1656115199999000000,730208485.769,80334,22343352.0,383624924.135,0
06/25/2022,16.95,17.16,16.918,16.958,24324820.0,1656201599999000000,414299638.75,57264,12745284.0,217152589.599,0
06/26/2022,16.959,17.1,16.614,16.653,30650104.0,1656287999999000000,518983126.353,70240,15917760.0,269649929.464,0
06/27/2022,16.653,16.868,16.15,16.815,47133328.0,1656374399999000000,787046780.11,89983,25932329.0,433183372.737,0
06/28/2022,16.814,16.896,16.731,16.862,31637727.0,1656460799999000000,531905947.942,71974,17533820.0,294812281.766,0
06/29/2022,16.862,16.892,16.774,16.843,35698539.0,1656547199999000000,601174110.977,83040,19349179.0,325847596.879,0
06/30/2022,16.843,16.919,16.792,16.822,31682644.0,1656633599999000000,533879027.826,67855,16917103.0,285110608.865,0
07/01/2022,16.822,16.95,16.792,16.935,25616358.0,1656719999999000000,432417270.645,61390,13693131.0,231171223.763,0
07/02/2022,16.935,16.951,16.861,16.899,18119881.0,1656806399999000000,306249337.061,50640,8974263.0,151697130.608,0
07/03/2022,16.899,16.94,16.866,16.89,15696560.0,1656892799999000000,265403117.2,39379,8104556.0,137057300.626,0
07/04/2022,16.89,16.921,16.815,16.824,21940697.0,1656979199999000000,370570191.356,51728,10830105.0,182933647.199,0
07/05/2022,16.82,17.123,16.8,16.995,27047627.0,1657065599999000000,459540479.102,58298,13138635.0,223241309.254,0
07/06/2022,16.996,17.274,16.995,17.204,27270525.0,1657151999999000000,468922158.293,55763,13794630.0,237184135.796,0
07/07/2022,17.205,17.32,17.16,17.285,27070933.0,1657238399999000000,467406432.5,58779,14327875.0,247419087.638,0
