Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,21.86,24.46,21.06,24.22,2523052.1,1653436799999000000,57635423.2861,144066,1351919.26,30797901.7975,0
05/25/2022,24.21,25.69,23.48,23.73,2746538.65,1653523199999000000,66839689.0054,151783,1293986.59,31457771.0386,0
05/26/2022,23.73,23.94,20.74,21.9,2153133.51,1653609599999000000,47790673.5632,111613,1059505.56,23498010.4681,0
05/27/2022,21.89,23.42,21.41,22.51,2676849.89,1653695999999000000,60454041.1255,135939,1305971.83,29520476.1744,0
05/28/2022,22.51,23.08,22.34,22.74,1047607.78,1653782399999000000,23820255.2126,49184,502706.71,11436230.3504,0
05/29/2022,22.75,23.81,22.2,23.67,858482.35,1653868799999000000,19669675.257,41961,442053.12,10129351.3771,0
05/30/2022,23.67,25.0,23.43,24.84,1235554.64,1653955199999000000,29920302.0836,66488,628138.05,15220994.907,0
05/31/2022,24.85,25.16,22.97,23.77,1671424.91,1654041599999000000,40036576.3953,93839,781760.08,18695587.1458,0
06/01/2022,23.78,24.23,21.43,22.02,1156151.66,1654127999999000000,26671306.4568,66654,562200.83,12964924.6251,0
06/02/2022,22.01,22.52,21.6,22.42,618320.48,1654214399999000000,13623560.3443,38282,325732.79,7180717.7444,0
06/03/2022,22.42,22.64,21.27,21.84,539829.55,1654300799999000000,11813558.7277,32003,255116.77,5587468.3451,0
06/04/2022,21.84,22.06,21.53,21.98,363561.37,1654387199999000000,7938621.0771,21412,178108.85,3890082.7724,0
06/05/2022,21.97,22.19,21.67,21.82,244707.82,1654473599999000000,5358223.8737,16967,127426.82,2789845.6918,0
06/06/2022,21.82,23.42,21.77,22.52,786156.99,1654559999999000000,17839151.0325,44439,362831.74,8223387.57,0
06/07/2022,22.52,22.52,20.81,21.54,851219.3,1654646399999000000,18277648.5889,50202,431657.23,9271075.4482,0
06/08/2022,21.54,21.82,21.03,21.28,397838.38,1654732799999000000,8514022.7276,26098,200088.45,4280371.2191,0
06/09/2022,21.29,21.66,20.96,21.17,325672.01,1654819199999000000,6937560.6867,18803,169545.88,3610520.2813,0
06/10/2022,21.18,21.39,19.75,20.0,614755.59,1654905599999000000,12640952.9631,37000,302321.34,6220235.0357,0
06/11/2022,20.0,20.39,17.87,18.22,799873.15,1654991999999000000,15073371.5139,44514,413292.83,7778188.4036,0
06/12/2022,18.22,18.4,16.54,16.56,1094080.69,1655078399999000000,18970343.4692,58362,556020.37,9644541.0807,0
06/13/2022,16.56,16.96,13.96,14.45,2554381.329,1655164799999000000,38318880.961524,117936,1262650.94,18950324.9074,0
06/14/2022,14.44,15.14,13.1,14.57,2159612.44,1655251199999000000,31026071.0655,130362,1050348.09,15086353.2518,0
06/15/2022,14.57,16.05,12.92,15.88,2808030.33,1655337599999000000,39686781.8449,158686,1390431.98,19659350.9542,0
06/16/2022,15.87,16.08,13.58,13.82,1396290.28,1655423999999000000,20487380.5655,77765,711291.1,10424056.3894,0
06/17/2022,13.83,14.59,13.7,14.35,828976.26,1655510399999000000,11797981.1504,46924,446262.99,6350263.4029,0
06/18/2022,14.34,14.59,12.47,13.67,1514024.94,1655596799999000000,20390842.3244,90767,754908.98,10154808.3888,0
06/19/2022,13.67,15.6,13.28,15.37,1460395.09,1655683199999000000,20969143.5443,81978,680982.72,9813960.923,0
