Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,69.0,70.8,67.0,70.2,492877.962,1653436799999000000,34106232.6075,65839,239506.19,16581946.9706,0
05/25/2022,70.3,71.7,67.9,68.2,414049.811,1653523199999000000,28692099.7793,50965,199053.038,13787090.1678,0
05/26/2022,68.2,68.9,60.4,63.5,730443.128,1653609599999000000,46950352.3473,76407,352507.637,22637556.1858,0
05/27/2022,63.4,64.1,60.9,61.6,739704.085,1653695999999000000,46191185.5631,80053,366112.16,22863080.2505,0
05/28/2022,61.6,64.0,61.3,63.0,336506.622,1653782399999000000,21113190.1241,38679,167251.698,10496908.2406,0
05/29/2022,63.1,64.4,61.8,63.6,315852.358,1653868799999000000,19960282.9372,34773,152181.971,9618112.934,0
05/30/2022,63.7,69.8,63.2,69.1,612046.039,1653955199999000000,40865010.5571,61473,325412.673,21717289.7038,0
05/31/2022,69.1,69.8,66.7,68.4,445048.542,1654041599999000000,30451799.9475,53475,220546.183,15094722.7721,0
06/01/2022,68.4,70.6,61.7,62.7,634020.203,1654127999999000000,42132794.6582,70322,293545.992,19541973.8717,0
06/02/2022,62.7,64.8,62.1,64.5,371742.76,1654214399999000000,23541582.2528,44212,185662.864,11760329.2506,0
06/03/2022,64.4,64.9,61.4,62.6,281679.966,1654300799999000000,17678930.5995,38236,141467.117,8879261.1642,0
06/04/2022,62.6,64.4,61.3,63.7,187841.045,1654387199999000000,11791410.554,28043,95196.065,5979367.9897,0
06/05/2022,63.8,63.9,61.7,63.2,194186.313,1654473599999000000,12227283.6743,27729,97237.588,6120872.9253,0
06/06/2022,63.2,66.7,62.9,64.5,374528.282,1654559999999000000,24363636.7292,44510,193479.225,12592591.243,0
06/07/2022,64.5,65.5,60.1,63.8,493587.564,1654646399999000000,30891911.6656,59052,244967.285,15322931.1269,0
06/08/2022,63.9,64.5,61.1,61.3,460948.577,1654732799999000000,28818270.3946,52011,218576.43,13681166.0617,0
06/09/2022,61.4,62.4,59.2,60.3,295546.594,1654819199999000000,18052292.2995,40960,142266.363,8690406.2552,0
06/10/2022,60.2,60.4,55.6,56.7,505271.348,1654905599999000000,29336776.3474,57264,252255.407,14650522.2966,0
06/11/2022,56.6,57.8,51.6,52.2,588679.33839,1654991999999000000,32101780.9911705,62307,287187.36105,15659681.26153,0
06/12/2022,52.2,52.6,47.3,47.9,751665.40626,1655078399999000000,37630273.7692817,72751,361250.782,18097773.1709,0
06/13/2022,47.9,48.3,41.0,43.5,1585014.73295,1655164799999000000,69492583.1850455,150859,776369.00955,34060495.418,0
06/14/2022,43.5,46.5,40.3,46.15,1538135.285,1655251199999000000,68389720.41595,168405,737180.42,32775734.23164,0
06/15/2022,46.16,50.98,41.66,50.65,2010453.14,1655337599999000000,90706924.35179,241857,1018032.951,45954268.37817,0
06/16/2022,50.66,51.22,44.02,44.78,1636635.976,1655423999999000000,76714502.97653,199624,798615.875,37426313.88333,0
06/17/2022,44.8,48.43,44.41,47.6,1207287.632,1655510399999000000,56300871.00346,155707,610304.567,28457974.93167,0
06/18/2022,47.6,48.4,41.46,47.18,1913775.171,1655596799999000000,86791488.48097,225479,924926.721,41986585.01316,0
06/19/2022,47.17,56.45,44.91,54.29,2451326.02,1655683199999000000,122958586.37944,335312,1218831.005,61154184.34178,0
06/20/2022,54.3,54.77,51.31,52.77,1979924.021,1655769599999000000,104013698.59808,280734,967880.293,50846971.21181,0
06/21/2022,52.76,55.71,51.86,53.52,1381554.785,1655855999999000000,73862649.34498,194509,678962.121,36300783.03439,0
06/22/2022,53.53,53.55,50.41,52.13,927893.846,1655942399999000000,48138975.73304,133598,466403.661,24196302.59571,0
06/23/2022,52.15,56.77,51.9,55.74,994973.172,1656028799999000000,54544530.38474,137295,503755.82,27619805.93258,0
06/24/2022,55.72,57.34,54.4,55.84,730614.764,1656115199999000000,40862718.05002,104529,358892.476,20076769.32682,0
06/25/2022,55.85,59.76,54.59,58.88,618227.012,1656201599999000000,35253057.17888,98725,324859.222,18530670.82052,0
06/26/2022,58.89,60.5,56.6,56.61,518719.077,1656287999999000000,30465277.71815,89424,255398.813,15012555.21695,0
06/27/2022,56.6,58.62,54.82,55.86,397024.694,1656374399999000000,22527859.72806,70251,200839.81,11397488.1201,0
06/28/2022,55.89,57.0,52.57,52.68,428561.798,1656460799999000000,23479250.32321,79733,222693.12,12205679.74759,0
06/29/2022,52.71,54.45,51.36,53.68,451898.813,1656547199999000000,23840747.42029,82127,226505.979,11957746.05014,0
06/30/2022,53.68,54.0,50.15,53.84,505134.988,1656633599999000000,26122598.20536,92537,262443.483,13581211.16669,0
07/01/2022,53.84,56.28,50.04,51.19,606167.187,1656719999999000000,31622453.00844,114090,295480.127,15431059.92726,0
07/02/2022,51.21,51.65,49.77,50.55,395349.861,1656806399999000000,20021258.01033,67673,211521.493,10712341.18512,0
07/03/2022,50.55,52.22,49.11,50.95,319754.383,1656892799999000000,16103424.41233,62001,164719.948,8301767.78513,0
07/04/2022,50.94,52.43,49.7,52.26,428499.128,1656979199999000000,21800275.14044,64441,242195.287,12314291.1671,0
07/05/2022,52.24,52.48,47.95,49.7,567147.955,1657065599999000000,28355698.23961,95986,279162.338,13954638.87719,0
07/06/2022,49.7,51.2,48.96,50.34,369984.007,1657151999999000000,18515142.03745,64786,191697.571,9596257.12197,0
07/07/2022,50.36,52.64,49.77,52.15,478416.357,1657238399999000000,24387960.55634,68871,255230.199,13016509.43413,0
07/08/2022,52.17,53.99,50.75,51.35,539059.048,1657324799999000000,28201267.25365,80903,272014.086,14231688.00579,0
07/09/2022,51.35,54.8,51.33,54.09,369622.829,1657411199999000000,19445502.96595,57598,200097.656,10521166.82301,0
07/10/2022,54.09,55.07,50.65,52.12,793607.197,1657497599999000000,42213636.14422,106476,384541.822,20457480.61493,0
07/11/2022,52.12,52.25,48.26,48.71,458088.601,1657583999999000000,23212879.64453,69902,221198.437,11210165.43488,0
07/12/2022,48.7,49.37,47.28,47.33,466284.497,1657670399999000000,22544582.82015,66128,230864.918,11165104.63059,0
07/13/2022,47.32,49.73,46.41,49.56,601519.056,1657756799999000000,28891898.55488,81503,308333.395,14812031.19974,0
07/14/2022,49.54,51.75,47.96,51.32,522186.191,1657843199999000000,25957558.67544,68358,275556.874,13711459.47031,0
07/15/2022,51.32,52.78,50.61,51.78,544118.253,1657929599999000000,28064711.07596,79879,277449.676,14311819.8604,0
07/16/2022,51.76,55.56,51.07,55.08,437141.035,1658015999999000000,23272735.81587,74916,237589.904,12654885.12585,0
07/17/2022,55.07,57.02,54.33,55.76,488379.926,1658102399999000000,27120519.1573,88065,267140.472,14836007.01027,0
07/18/2022,55.76,59.56,55.23,58.6,704809.589,1658188799999000000,40596652.37876,122628,368945.776,21262374.18671,0
07/19/2022,58.59,59.63,55.83,57.9,648764.405,1658275199999000000,37299676.90348,118862,330288.017,18985884.0836,0
07/20/2022,57.9,61.73,56.4,57.2,823588.205,1658361599999000000,48485663.58355,146845,416164.014,24516290.25506,0
07/21/2022,57.2,58.65,55.15,58.02,495146.27,1658447999999000000,28110078.90323,94986,243581.412,13828450.80752,0
07/22/2022,58.03,59.18,55.5,56.09,504430.421,1658534399999000000,29131839.96785,88629,258903.893,14975426.41807,0
07/23/2022,56.09,57.24,54.5,56.32,359887.479,1658620799999000000,20083777.46006,66205,167497.473,9349669.69634,0
07/24/2022,56.32,59.78,56.32,58.39,353168.581,1658707199999000000,20557439.17097,73235,187791.819,10933377.84145,0
07/25/2022,58.39,59.02,53.89,54.0,480171.674,1658793599999000000,26979482.87699,87866,221419.487,12450667.64462,0
07/26/2022,54.0,54.15,51.96,53.88,420584.372,1658879999999000000,22300685.55101,74710,207871.11,11021950.70383,0
