Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,11.38,11.41,10.42,11.27,878406.62,1653436799999000000,9651219.4808,39313,448357.0,4924997.2739,0
05/25/2022,11.26,12.0,11.25,11.66,1014853.15,1653523199999000000,11784273.8653,42207,478919.58,5561263.9979,0
05/26/2022,11.65,12.24,10.13,10.71,1208663.27,1653609599999000000,13304806.9159,49567,591080.52,6499625.5963,0
05/27/2022,10.71,11.34,10.16,10.29,1422835.89,1653695999999000000,15278075.0719,52627,632663.0,6802714.7849,0
05/28/2022,10.28,10.66,10.1,10.47,495201.78,1653782399999000000,5166546.3342,18255,245680.37,2562462.7387,0
05/29/2022,10.48,10.64,10.13,10.64,362745.67,1653868799999000000,3771485.1213,15392,174981.98,1818436.6712,0
05/30/2022,10.64,11.83,10.57,11.78,722112.29,1653955199999000000,8164138.9689,31210,366625.79,4140915.0319,0
05/31/2022,11.78,11.89,11.2,11.57,540766.84,1654041599999000000,6241373.3644,25556,271270.67,3128729.965,0
06/01/2022,11.57,12.4,10.87,11.14,1227148.46,1654127999999000000,14384089.5333,53496,608014.06,7135328.4619,0
06/02/2022,11.14,11.52,10.86,11.4,448905.02,1654214399999000000,5040709.4348,22079,214251.91,2406600.1646,0
06/03/2022,11.41,11.77,10.9,11.16,384108.23,1654300799999000000,4350424.5689,17224,196151.77,2224469.3328,0
06/04/2022,11.16,11.34,10.94,11.31,200062.42,1654387199999000000,2231843.351,9563,92672.57,1033621.5433,0
06/05/2022,11.31,11.99,11.06,11.46,635632.15,1654473599999000000,7372874.8124,28040,321861.42,3727825.7432,0
06/06/2022,11.45,13.4,11.45,12.15,1339639.09,1654559999999000000,16798018.685,68164,629413.63,7875335.867,0
06/07/2022,12.15,12.17,11.22,11.86,618195.74,1654646399999000000,7175371.2092,29132,317947.65,3687489.7209,0
06/08/2022,11.85,12.86,11.47,12.01,1046973.07,1654732799999000000,12854441.2373,45963,514941.12,6324611.212,0
06/09/2022,12.02,12.4,11.75,12.04,383162.05,1654819199999000000,4628483.8408,18362,184402.15,2229388.5232,0
06/10/2022,12.04,12.05,10.93,11.41,520014.35,1654905599999000000,5981778.8395,26027,279517.44,3214984.8742,0
06/11/2022,11.43,11.71,10.5,10.94,674690.65,1654991999999000000,7484997.8291,29972,351688.56,3897993.4168,0
06/12/2022,10.95,13.34,10.05,11.63,3513751.28,1655078399999000000,41693999.7421,147071,1824779.67,21648547.0396,0
06/13/2022,11.62,12.27,9.39,9.85,3345701.91,1655164799999000000,35037496.2665,128807,1662274.3,17385431.6634,0
06/14/2022,9.85,9.99,8.96,9.7,1414799.01,1655251199999000000,13566471.5567,59668,666247.04,6397444.1499,0
06/15/2022,9.69,10.02,8.43,10.0,1995351.56,1655337599999000000,18185359.6917,83897,992734.19,9117962.963,0
06/16/2022,10.0,10.19,8.68,8.84,875997.74,1655423999999000000,8172179.9487,41575,426177.77,3974284.95,0
06/17/2022,8.83,9.32,8.77,9.05,427179.74,1655510399999000000,3885125.167,20080,208080.93,1893016.7432,0
06/18/2022,9.06,9.21,7.94,8.52,851290.15,1655596799999000000,7222620.517414,34177,431832.35,3658163.7584,0
06/19/2022,8.52,9.19,8.15,9.08,687757.85,1655683199999000000,5967349.6048,26768,351427.97,3052804.0251,0
06/20/2022,9.08,9.45,8.69,9.15,579631.55,1655769599999000000,5285363.5001,26441,291285.99,2656601.4003,0
06/21/2022,9.14,9.7,9.01,9.22,541554.99,1655855999999000000,5061292.9133,26959,252313.81,2357013.562,0
06/22/2022,9.22,9.27,8.78,8.88,452136.42,1655942399999000000,4065163.8176,19947,217444.41,1958298.943,0
06/23/2022,8.89,9.39,8.87,9.31,385421.5,1656028799999000000,3541256.0319,17668,185069.8,1700862.1003,0
06/24/2022,9.3,9.81,9.29,9.65,410988.65,1656115199999000000,3915767.9984,21821,185316.53,1764693.1238,0
06/25/2022,9.65,9.91,9.27,9.74,352635.23,1656201599999000000,3396882.3176,15844,165632.74,1596728.6271,0
06/26/2022,9.73,10.2,9.45,9.49,422090.36,1656287999999000000,4161570.9613,21343,208005.72,2049068.9446,0
06/27/2022,9.48,9.92,9.38,9.5,374583.37,1656374399999000000,3597972.1684,16074,190984.43,1834040.5975,0
