Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/22/2022,0.889,0.944,0.875,0.935,1618058.5,1653263999999000000,1473429.7565,6379,826820.0,752224.6349,0
05/23/2022,0.933,0.989,0.861,0.873,2249199.0,1653350399999000000,2109495.7651,8837,1119847.5,1052612.5059,0
05/24/2022,0.875,0.918,0.824,0.911,2334849.0,1653436799999000000,2043399.4515,8934,1218071.9,1064994.4768,0
05/25/2022,0.911,0.923,0.842,0.867,1900789.3,1653523199999000000,1668583.1513,6678,953695.4,835404.7856,0
05/26/2022,0.868,0.893,0.767,0.791,1456514.4,1653609599999000000,1192904.6613,6285,762624.3,623367.9079,0
05/27/2022,0.792,0.805,0.74,0.77,1571358.8,1653695999999000000,1221762.8691,6625,781394.1,607715.3548,0
05/28/2022,0.771,0.811,0.757,0.801,563910.6,1653782399999000000,445895.0661,2365,291523.0,230314.8534,0
05/29/2022,0.802,0.848,0.776,0.848,606113.5,1653868799999000000,489562.2705,2305,260547.4,210144.9916,0
05/30/2022,0.847,0.994,0.832,0.986,1509421.8,1653955199999000000,1396297.2177,6474,688938.1,636554.893,0
05/31/2022,0.986,1.014,0.915,0.981,1160595.8,1654041599999000000,1118424.7594,4977,590971.6,568858.253,0
06/01/2022,0.983,1.057,0.867,0.892,1974173.9,1654127999999000000,1912431.9085,8859,910894.7,884263.7704,0
06/02/2022,0.891,0.928,0.859,0.924,836636.3,1654214399999000000,743241.7702,3844,471436.1,417717.8944,0
06/03/2022,0.924,0.928,0.855,0.884,451158.1,1654300799999000000,398502.148,2608,270397.4,238801.263,0
06/04/2022,0.885,0.894,0.851,0.866,405010.9,1654387199999000000,351203.4731,2404,211300.9,183219.9227,0
06/05/2022,0.866,0.887,0.834,0.863,443870.0,1654473599999000000,380109.935,2579,243487.7,208201.5271,0
06/06/2022,0.865,0.94,0.862,0.883,684146.5,1654559999999000000,618363.0465,4201,267031.1,240728.796,0
06/07/2022,0.882,1.112,0.807,0.945,3573175.5,1654646399999000000,3447027.5003,14470,1781447.7,1713365.2119,0
06/08/2022,0.948,0.985,0.892,0.899,1361835.6,1654732799999000000,1274835.8656,7728,633465.7,593295.9261,0
06/09/2022,0.895,0.971,0.877,0.911,1173472.6,1654819199999000000,1086209.4428,6300,568631.7,526039.2578,0
06/10/2022,0.911,0.913,0.847,0.88,922800.0,1654905599999000000,809789.249,4792,477854.5,418969.9564,0
06/11/2022,0.879,0.903,0.759,0.794,1448162.0,1654991999999000000,1202221.6032,5884,714154.3,586064.8224,0
06/12/2022,0.797,0.807,0.706,0.707,805678.6,1655078399999000000,606557.0708,4191,371374.1,280472.4916,0
06/13/2022,0.707,0.736,0.628,0.691,1213997.8,1655164799999000000,824540.4335,7261,563308.7,383071.9718,0
