Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
12/08/2021,0.9991,0.9992,0.999,0.9992,130078882.0,1639007999999000000,129960415.3261,40821,64806906.0,64751016.2748,0
12/09/2021,0.9992,0.9997,0.999,0.9996,142048173.0,1639094399999000000,141948039.1896,45009,85936494.0,85879041.4316,0
12/10/2021,0.9996,1.0,0.9996,0.9996,183257439.0,1639180799999000000,183212042.2493,49919,92956953.0,92937388.2336,0
12/11/2021,0.9997,0.9999,0.9995,0.9995,105601309.0,1639267199999000000,105563579.0758,34439,47567700.0,47552248.5066,0
12/12/2021,0.9996,0.9997,0.9995,0.9995,78898621.0,1639353599999000000,78863319.2419,34683,36778579.0,36764000.5305,0
12/13/2021,0.9995,1.0001,0.9994,1.0,166779092.0,1639439999999000000,166740492.5204,55427,88147560.0,88128214.9809,0
12/14/2021,1.0,1.0,0.9993,0.9994,149572582.0,1639526399999000000,149519397.3193,48365,77076934.0,77051328.4463,0
12/15/2021,0.9995,0.9998,0.9994,0.9997,147665868.0,1639612799999000000,147623816.0696,40387,82710058.0,82689217.1559,0
12/16/2021,0.9997,0.9999,0.9994,0.9998,133861060.0,1639699199999000000,133814617.7329,39053,63056049.0,63036833.6046,0
12/17/2021,0.9998,0.9999,0.9997,0.9997,114355828.0,1639785599999000000,114330355.3193,38478,55888952.0,55879022.3081,0
12/18/2021,0.9997,0.9999,0.9996,0.9998,73012254.0,1639871999999000000,72991839.3137,27919,36722166.0,36713384.0003,0
12/19/2021,0.9998,0.9999,0.9996,0.9998,63252610.0,1639958399999000000,63236509.1161,28171,27164176.0,27158322.171,0
12/20/2021,0.9998,0.9999,0.9996,0.9999,106136562.0,1640044799999000000,106105049.587,34144,57553889.0,57539176.8107,0
12/21/2021,0.9999,0.9999,0.9994,0.9996,105296764.0,1640131199999000000,105258213.8549,42782,50599429.0,50581043.755,0
