Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,16.151,16.282,16.123,16.226,44644673.0,1653436799999000000,724339911.454,122129,24081734.0,390691409.017,0
05/25/2022,16.226,16.449,16.1,16.432,49657948.0,1653523199999000000,812234174.401,129657,25505767.0,417225390.097,0
05/26/2022,16.432,16.65,16.365,16.559,77262405.0,1653609599999000000,1276921825.458,177913,42370878.0,700386234.939,0
05/27/2022,16.559,16.607,16.379,16.471,56863227.0,1653695999999000000,938164818.291,146361,29605893.0,488506659.991,0
05/28/2022,16.471,16.474,16.353,16.386,28542912.0,1653782399999000000,468270042.932,98242,13712579.0,224952359.099,0
05/29/2022,16.386,16.465,16.311,16.414,43008817.0,1653868799999000000,704685482.616,136834,21146738.0,346490784.139,0
05/30/2022,16.414,16.444,16.278,16.353,72904884.0,1653955199999000000,1192989252.024,182716,36566535.0,598410105.21,0
05/31/2022,16.353,16.54,16.301,16.444,72788058.0,1654041599999000000,1196392491.006,183098,38487834.0,632637828.278,0
06/01/2022,16.443,16.59,16.43,16.585,66087153.0,1654127999999000000,1091698118.382,167636,36490140.0,602815174.472,0
06/02/2022,16.586,16.624,16.567,16.608,52987044.0,1654214399999000000,878950905.693,135459,29423332.0,488073778.461,0
06/03/2022,16.608,16.677,16.568,16.621,62455276.0,1654300799999000000,1037907168.179,138944,34538101.0,573960686.921,0
06/04/2022,16.622,16.65,16.56,16.605,43064485.0,1654387199999000000,715228031.132,132441,21486762.0,356868649.164,0
06/05/2022,16.605,16.634,16.596,16.62,35017971.0,1654473599999000000,581938963.31,100681,17455326.0,290074589.754,0
06/06/2022,16.621,16.66,16.52,16.646,73775650.0,1654559999999000000,1223634401.558,176672,35663052.0,591561224.114,0
06/07/2022,16.647,16.88,16.646,16.873,117235603.0,1654646399999000000,1969172446.599,232916,60895939.0,1022903504.721,0
06/08/2022,16.874,17.329,16.815,17.27,96833063.0,1654732799999000000,1656136525.955,177881,49250006.0,842237861.622,0
06/09/2022,17.252,17.361,16.281,17.197,193943636.0,1654819199999000000,3280714375.554,229200,98505634.0,1666297013.097,0
06/10/2022,17.197,17.33,16.822,17.325,98089081.0,1654905599999000000,1681200207.13,179948,53677754.0,920102445.275,0
06/11/2022,17.325,17.43,17.238,17.422,64393659.0,1654991999999000000,1117067703.317,147446,35969477.0,623970527.495,0
06/12/2022,17.422,17.5,17.372,17.488,55951785.0,1655078399999000000,976573993.659,141631,29861426.0,521210081.801,0
06/13/2022,17.488,17.689,17.41,17.527,128355862.0,1655164799999000000,2248930404.19,227792,69916022.0,1224853400.688,0
06/14/2022,17.527,17.551,17.372,17.427,86621075.0,1655251199999000000,1510626394.506,181625,46314708.0,807647642.391,0
06/15/2022,17.427,17.55,17.339,17.349,91672324.0,1655337599999000000,1599319147.014,213892,49622722.0,865702681.082,0
06/16/2022,17.349,17.5,17.281,17.484,66523609.0,1655423999999000000,1159769950.298,146731,36566855.0,637483045.999,0
06/17/2022,17.484,17.491,17.37,17.472,46055822.0,1655510399999000000,803131463.013,109560,24621310.0,429329268.925,0
06/18/2022,17.473,17.574,17.443,17.516,41181373.0,1655596799999000000,722330195.947,120904,22864905.0,401047434.133,0
06/19/2022,17.516,17.569,17.382,17.454,41569948.0,1655683199999000000,726844892.566,114902,20250364.0,354099665.372,0
06/20/2022,17.455,17.497,17.39,17.402,54656232.0,1655769599999000000,953034365.967,129802,29109524.0,507598410.99,0
06/21/2022,17.402,17.489,17.352,17.454,69193655.0,1655855999999000000,1204713829.954,161087,35634042.0,620485441.665,0
06/22/2022,17.453,17.499,17.407,17.485,51396826.0,1655942399999000000,897131712.446,126923,29146024.0,508737620.729,0
06/23/2022,17.484,17.49,17.363,17.367,56323090.0,1656028799999000000,981379204.982,138309,27234535.0,474570497.119,0
06/24/2022,17.368,17.419,16.536,16.937,124114908.0,1656115199999000000,2124933373.753,210703,60630538.0,1037894096.556,0
06/25/2022,16.936,17.149,16.897,16.948,57058732.0,1656201599999000000,971015907.898,160801,29827850.0,507728978.613,0
06/26/2022,16.949,17.09,16.6,16.644,69657029.0,1656287999999000000,1177166900.557,170608,34161598.0,577516959.254,0
06/27/2022,16.644,16.87,16.152,16.798,84541651.0,1656374399999000000,1408981119.35,195636,43845076.0,730919527.163,0
06/28/2022,16.797,16.87,16.705,16.843,51944131.0,1656460799999000000,872169934.958,149045,28257297.0,474535431.608,0
06/29/2022,16.843,16.87,16.751,16.822,49933518.0,1656547199999000000,839620627.951,123568,28150527.0,473336471.496,0
06/30/2022,16.821,16.9,16.767,16.8,52656744.0,1656633599999000000,885995667.749,126922,30037539.0,505340093.064,0
07/01/2022,16.8,16.932,16.768,16.912,44975700.0,1656719999999000000,758264281.371,119096,25732654.0,433821914.185,0
07/02/2022,16.912,16.93,16.839,16.877,24974750.0,1656806399999000000,421561628.623,87582,13030543.0,219971590.658,0
07/03/2022,16.877,16.923,16.843,16.87,24639345.0,1656892799999000000,416138854.293,77455,12627758.0,213287847.687,0
07/04/2022,16.87,16.905,16.8,16.801,45190861.0,1656979199999000000,762425912.733,118411,21795422.0,367732339.34,0
07/05/2022,16.801,17.105,16.782,16.977,57229401.0,1657065599999000000,971724507.565,137995,30027437.0,509914900.854,0
07/06/2022,16.978,17.258,16.977,17.184,65538856.0,1657151999999000000,1126269215.409,133090,32432794.0,557311845.744,0
07/07/2022,17.184,17.313,17.14,17.274,62028814.0,1657238399999000000,1070280627.58,151128,31264785.0,539470042.556,0
07/08/2022,17.274,17.469,17.2,17.453,52018441.0,1657324799999000000,903797810.656,143521,27207037.0,472650458.396,0
07/09/2022,17.452,17.465,17.4,17.456,29904184.0,1657411199999000000,521501589.869,94169,15258694.0,266093622.039,0
07/10/2022,17.455,17.586,17.439,17.58,29619067.0,1657497599999000000,519363310.044,96169,16289792.0,285610941.211,0
07/11/2022,17.581,17.695,17.566,17.693,32934330.0,1657583999999000000,580362979.65,101381,18060336.0,318260638.053,0
07/12/2022,17.694,17.727,17.574,17.673,38059342.0,1657670399999000000,672172913.585,98574,21422463.0,378317840.097,0
07/13/2022,17.673,17.765,17.588,17.608,55049890.0,1657756799999000000,973087049.281,128135,30200451.0,533794345.979,0
07/14/2022,17.607,17.692,17.451,17.495,62584422.0,1657843199999000000,1100672724.99,136486,32063984.0,564038362.299,0
07/15/2022,17.495,17.535,17.288,17.432,59916237.0,1657929599999000000,1043173524.298,143386,29566410.0,514728624.157,0
07/16/2022,17.432,17.464,17.186,17.244,50966924.0,1658015999999000000,883637734.491,131355,24549539.0,425688117.19,0
07/17/2022,17.244,17.395,17.166,17.353,43084571.0,1658102399999000000,745314908.41,117161,21848612.0,377962156.592,0
07/18/2022,17.353,17.49,17.105,17.365,104797416.0,1658188799999000000,1819478235.102,199250,51253813.0,889935936.851,0
07/19/2022,17.373,17.579,17.261,17.537,88850421.0,1658275199999000000,1555054785.892,188420,45355019.0,793849606.281,0
07/20/2022,17.537,17.748,17.469,17.73,83619926.0,1658361599999000000,1472985581.523,175199,45126237.0,794985642.452,0
07/21/2022,17.73,17.86,17.682,17.821,61974845.0,1658447999999000000,1102096934.803,137729,32318551.0,574693939.718,0
07/22/2022,17.821,18.0,17.785,17.999,59473740.0,1658534399999000000,1063523624.601,135229,32534855.0,581881327.205,0
07/23/2022,17.999,18.0,17.915,17.966,39336204.0,1658620799999000000,706888622.761,107157,21080679.0,378828837.252,0
07/24/2022,17.967,17.972,17.88,17.932,36318192.0,1658707199999000000,650903481.314,94444,17694519.0,317120629.275,0
07/25/2022,17.931,18.105,17.912,18.101,61236036.0,1658793599999000000,1103098859.159,123227,34402071.0,619695668.158,0
07/26/2022,18.101,18.179,18.01,18.054,55119406.0,1658879999999000000,995919017.445,105560,31482269.0,568741138.247,0
07/27/2022,18.055,18.169,17.95,17.952,80831676.0,1658966399999000000,1461249282.407,144103,41676039.0,753329975.54,0
07/28/2022,17.952,18.053,17.798,17.876,61620680.0,1659052799999000000,1105646836.021,194060,30210130.0,542183542.289,0
