Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,35.78,35.81,35.51,35.53,3700585.0,1653436799999000000,131953142.05,18127,1820040.0,64907475.77,0
05/25/2022,35.54,35.6,34.74,35.47,3513474.0,1653523199999000000,123681862.92,18584,1646406.0,57943634.68,0
05/26/2022,35.47,35.93,35.03,35.63,4045533.0,1653609599999000000,144081657.13,22504,2117458.0,75411422.58,0
05/27/2022,35.62,35.77,35.45,35.72,2906505.0,1653695999999000000,103611480.34,17164,1433137.0,51086117.8,0
05/28/2022,35.72,35.75,35.43,35.55,2188408.0,1653782399999000000,77873734.34,12625,1026107.0,36515846.94,0
05/29/2022,35.55,35.59,35.4,35.44,1950893.0,1653868799999000000,69191073.28,12796,877557.0,31127189.82,0
05/30/2022,35.43,35.45,34.9,34.95,2257969.0,1653955199999000000,79311774.32,17924,994580.0,34932085.17,0
05/31/2022,34.94,34.97,34.41,34.48,2704085.0,1654041599999000000,94001747.46,19723,1293826.0,44981914.4,0
06/01/2022,34.48,35.0,34.03,34.97,2874313.0,1654127999999000000,99489204.61,18732,1442356.0,49937125.34,0
06/02/2022,34.97,35.29,34.84,34.95,2720762.0,1654214399999000000,95344771.2,19594,1400041.0,49054137.14,0
06/03/2022,34.95,35.5,34.4,35.19,2911653.0,1654300799999000000,102088803.19,19009,1515360.0,53148178.55,0
06/04/2022,35.2,35.25,34.81,35.09,2207022.0,1654387199999000000,77210425.92,15616,1107774.0,38747354.43,0
06/05/2022,35.09,35.12,34.8,35.09,2274804.0,1654473599999000000,79499442.33,15318,1135376.0,39678716.5,0
06/06/2022,35.09,35.11,34.84,34.91,2708245.0,1654559999999000000,94559742.79,17463,1385149.0,48364049.23,0
06/07/2022,34.91,35.21,34.6,35.09,3772766.0,1654646399999000000,131640815.76,24087,1974762.0,68937001.43,0
06/08/2022,35.09,35.16,34.83,34.97,3089163.0,1654732799999000000,107896477.25,20242,1613301.0,56360748.0,0
06/09/2022,34.97,35.02,34.79,34.93,2730889.0,1654819199999000000,95334463.85,19756,1436113.0,50141580.84,0
06/10/2022,34.93,35.35,34.85,35.21,4018374.0,1654905599999000000,140992388.85,24754,2310104.0,81072715.91,0
06/11/2022,35.21,35.5,35.2,35.37,5897853.0,1654991999999000000,208682827.21,25821,3163519.0,111938584.32,0
06/12/2022,35.38,35.72,35.21,35.5,5310436.0,1655078399999000000,188368226.89,24459,2843228.0,100865476.54,0
06/13/2022,35.5,36.7,35.28,35.5,10958972.0,1655164799999000000,393000618.79,43764,5996397.0,215173734.86,0
06/14/2022,35.48,35.7,35.31,35.44,6386795.0,1655251199999000000,226553351.82,26551,3428942.0,121640948.66,0
06/15/2022,35.44,35.7,35.16,35.17,5545403.0,1655337599999000000,196373489.74,26603,2749490.0,97382950.05,0
06/16/2022,35.17,35.55,35.15,35.41,3437372.0,1655423999999000000,121700183.46,18924,1757361.0,62218434.51,0
06/17/2022,35.41,35.88,35.33,35.56,3550903.0,1655510399999000000,126124169.61,15703,1852799.0,65830671.29,0
06/18/2022,35.57,35.64,35.35,35.41,2922683.0,1655596799999000000,103694975.06,16547,1406931.0,49920977.52,0
06/19/2022,35.41,35.49,35.15,35.29,2225560.0,1655683199999000000,78600730.04,14212,1081686.0,38205165.18,0
06/20/2022,35.28,35.4,35.0,35.04,3121574.0,1655769599999000000,110075387.17,14344,1511488.0,53307398.24,0
06/21/2022,35.06,35.12,34.65,34.76,2048801.0,1655855999999000000,71360649.73,13159,931966.0,32456091.78,0
06/22/2022,34.76,34.89,34.66,34.8,1900439.0,1655942399999000000,66026323.0,12295,915955.0,31824111.61,0
06/23/2022,34.79,35.4,34.7,35.01,2887099.0,1656028799999000000,101028926.64,13998,1501525.0,52552095.65,0
06/24/2022,35.02,35.43,34.86,34.86,4206298.0,1656115199999000000,147834617.09,16867,2106480.0,74054721.42,0
06/25/2022,34.87,35.02,34.42,34.56,2210396.0,1656201599999000000,76566310.67,12808,943761.0,32697980.06,0
06/26/2022,34.55,34.94,34.31,34.44,1996964.0,1656287999999000000,68954118.24,10926,991050.0,34221235.94,0
06/27/2022,34.43,35.0,34.27,34.92,4581360.0,1656374399999000000,158552425.21,13437,2412696.0,83479898.88,0
06/28/2022,34.92,35.22,34.58,35.0,3306949.0,1656460799999000000,115194537.82,13185,1739462.0,60600658.84,0
06/29/2022,34.99,35.1,34.58,34.82,2816318.0,1656547199999000000,97973294.87,13763,1491995.0,51937764.42,0
06/30/2022,34.78,34.85,34.53,34.56,2367410.0,1656633599999000000,82036233.7,16001,969143.0,33586980.75,0
07/01/2022,34.57,34.77,34.05,34.13,2812445.0,1656719999999000000,96534342.18,17255,1288756.0,44262567.38,0
07/02/2022,34.13,34.28,33.65,33.73,2525592.0,1656806399999000000,85617494.54,15739,1164947.0,39490739.93,0
07/03/2022,33.72,34.54,33.18,33.47,3796043.0,1656892799999000000,127993891.38,16985,1913591.0,64692064.56,0
07/04/2022,33.54,34.1,33.18,33.52,4385860.0,1656979199999000000,147501789.7,17186,2094966.0,70642376.31,0
07/05/2022,33.52,34.3,33.4,34.22,2979645.0,1657065599999000000,100666723.83,15279,1606405.0,54296188.17,0
07/06/2022,34.23,34.99,33.91,34.86,4627146.0,1657151999999000000,160015397.86,17145,2572273.0,88976211.31,0
07/07/2022,34.86,35.36,33.9,35.18,4409825.0,1657238399999000000,153968253.11,15890,2154976.0,75476748.49,0
07/08/2022,35.22,36.5,34.98,35.88,3690541.0,1657324799999000000,131626019.4,15041,2187301.0,78183998.81,0
07/09/2022,35.81,36.85,34.95,36.63,4065843.0,1657411199999000000,147660502.66,12899,2448220.0,89176107.78,0
07/10/2022,36.65,36.92,36.1,36.63,2685950.0,1657497599999000000,98333383.14,10618,1322216.0,48565114.55,0
07/11/2022,36.7,36.79,35.79,36.03,2621075.0,1657583999999000000,95086838.72,12583,1093422.0,39711007.92,0
07/12/2022,36.08,36.8,35.92,36.61,2483810.0,1657670399999000000,90709149.46,13023,1509404.0,55155976.17,0
07/13/2022,36.57,37.75,36.54,37.42,2606816.0,1657756799999000000,96477993.14,13652,1756807.0,65116295.02,0
07/14/2022,37.42,38.1,37.0,37.03,2115120.0,1657843199999000000,79350260.31,12421,995488.0,37402834.99,0
07/15/2022,37.02,37.49,36.63,36.7,2073449.0,1657929599999000000,76550221.51,12447,908588.0,33572814.38,0
07/16/2022,36.71,36.83,36.3,36.41,1517601.0,1658015999999000000,55446288.89,10266,640963.0,23423514.9,0
07/17/2022,36.41,36.7,36.3,36.54,903413.0,1658102399999000000,32926719.26,8995,449413.0,16384806.97,0
07/18/2022,36.58,36.92,36.51,36.73,1557879.0,1658188799999000000,57252880.69,12388,794020.0,29182972.67,0
07/19/2022,36.73,37.21,36.69,37.08,1870158.0,1658275199999000000,69060184.94,12213,1164213.0,43004737.59,0
07/20/2022,37.08,37.18,36.49,36.57,2507544.0,1658361599999000000,92198560.81,13496,1133504.0,41717852.0,0
07/21/2022,36.59,39.37,36.52,38.72,5448394.0,1658447999999000000,206674400.06,19552,3180997.0,120475534.05,0
07/22/2022,38.72,39.5,38.62,39.24,2691498.0,1658534399999000000,105541853.43,14820,1263975.0,49556819.85,0
07/23/2022,39.26,39.57,39.23,39.44,1763440.0,1658620799999000000,69570722.36,11698,924866.0,36490901.95,0
07/24/2022,39.44,39.54,39.3,39.3,1965251.0,1658707199999000000,77468630.73,11765,985895.0,38866495.77,0
07/25/2022,39.3,39.5,38.8,38.91,2418821.0,1658793599999000000,94584342.97,13778,1059856.0,41465601.68,0
07/26/2022,38.9,39.68,38.9,39.23,6666635.0,1658879999999000000,261944155.08,16749,3534980.0,139054679.43,0
07/27/2022,39.23,39.89,38.92,39.45,6035212.0,1658966399999000000,238334121.52,18009,3015762.0,119286285.68,0
07/28/2022,39.43,39.91,39.42,39.75,3678364.0,1659052799999000000,146285217.56,16757,2016078.0,80197907.59,0
07/29/2022,39.74,40.8,39.71,40.44,3934712.0,1659139199999000000,158805399.46,20091,2022026.0,81607297.76,0
07/30/2022,40.44,40.64,39.71,39.85,3539534.0,1659225599999000000,142095202.24,16358,1549944.0,62225401.78,0
07/31/2022,39.86,39.94,39.16,39.27,3113751.0,1659311999999000000,122754371.88,15080,1330697.0,52453217.61,0
08/01/2022,39.24,39.65,39.1,39.4,3435394.0,1659398399999000000,135234066.29,15158,1674561.0,65935035.95,0
08/02/2022,39.39,39.9,39.35,39.64,2680712.0,1659484799999000000,106156981.25,13217,1443030.0,57152597.57,0
08/03/2022,39.65,39.68,38.85,39.18,2455675.0,1659571199999000000,96278713.93,12334,1097436.0,43024999.95,0
08/04/2022,39.21,39.36,38.91,38.96,2680196.0,1659657599999000000,104986185.15,12305,1402795.0,54963590.91,0
08/05/2022,38.96,39.16,38.88,38.93,2255282.0,1659743999999000000,87897288.89,12649,1117088.0,43543895.57,0
08/06/2022,38.94,39.1,38.85,39.06,1334342.0,1659830399999000000,52018937.19,9457,686989.0,26785542.41,0
08/07/2022,39.06,39.15,38.99,39.12,1227908.0,1659916799999000000,47970274.23,8563,631569.0,24678739.39,0
08/08/2022,39.12,39.25,39.04,39.23,1505268.0,1660003199999000000,58915325.93,10592,731737.0,28646705.43,0
08/09/2022,39.23,39.58,39.13,39.54,1693382.0,1660089599999000000,66736167.24,10048,904236.0,35632587.51,0
08/10/2022,39.54,39.54,39.2,39.2,1735148.0,1660175999999000000,68397656.47,10218,818519.0,32269055.98,0
08/11/2022,39.21,39.46,39.19,39.3,1673760.0,1660262399999000000,65747976.37,9397,821989.0,32290331.57,0
08/12/2022,39.29,39.37,39.24,39.33,1144525.0,1660348799999000000,44997799.82,7551,539187.0,21199819.76,0
08/13/2022,39.33,39.4,39.11,39.37,1250694.0,1660435199999000000,49165972.37,7672,584094.0,22965489.48,0
08/14/2022,39.37,39.47,39.31,39.42,1069577.0,1660521599999000000,42124832.18,7434,503827.0,19843508.78,0
08/15/2022,39.41,39.5,39.27,39.49,1449142.0,1660607999999000000,57123963.63,8514,740772.0,29201220.29,0
08/16/2022,39.5,39.63,39.35,39.47,1287388.0,1660694399999000000,50871017.27,8109,623226.0,24624041.96,0
08/17/2022,39.47,39.68,39.42,39.67,1210088.0,1660780799999000000,47850992.91,8226,594890.0,23528909.26,0
08/18/2022,39.68,39.69,39.46,39.53,1182898.0,1660867199999000000,46805786.07,7542,555097.0,21958498.64,0
08/19/2022,39.52,40.32,39.52,39.96,1721937.0,1660953599999000000,68555926.85,12424,878704.0,34991520.25,0
08/20/2022,39.96,40.0,39.58,39.78,1373117.0,1661039999999000000,54631905.99,8866,600651.0,23898557.59,0
08/21/2022,39.77,39.82,39.5,39.7,858768.0,1661126399999000000,34058358.09,7246,350784.0,13917933.86,0
08/22/2022,39.71,39.82,39.46,39.73,1202320.0,1661212799999000000,47623588.22,8943,563620.0,22332110.12,0
08/23/2022,39.79,39.81,39.58,39.79,1209057.0,1661299199999000000,48031832.13,8030,569424.0,22626138.55,0
08/24/2022,39.78,39.84,39.54,39.72,985296.0,1661385599999000000,39088043.99,6805,433201.0,17189905.99,0
08/25/2022,39.7,39.72,39.39,39.63,1072214.0,1661471999999000000,42402166.53,7211,472810.0,18701919.77,0
08/26/2022,39.63,39.67,39.25,39.67,1202171.0,1661558399999000000,47462689.4,8211,566455.0,22372543.3,0
08/27/2022,39.67,39.67,39.46,39.56,1061827.0,1661644799999000000,41998411.06,7493,490670.0,19407034.32,0
08/28/2022,39.57,39.6,39.3,39.41,824780.0,1661731199999000000,32521319.15,6950,381048.0,15025560.77,0
08/29/2022,39.41,39.63,39.36,39.61,1088676.0,1661817599999000000,42955386.36,7537,541865.0,21383913.8,0
08/30/2022,39.61,39.7,39.37,39.63,1513905.0,1661903999999000000,59887303.96,9003,713925.0,28247648.27,0
08/31/2022,39.68,39.68,39.4,39.47,968957.0,1661990399999000000,38291076.65,7427,435555.0,17212804.75,0
09/01/2022,39.47,39.49,39.11,39.23,1302413.0,1662076799999000000,51182601.0,8511,567297.0,22295653.27,0
09/02/2022,39.23,39.24,38.65,39.16,1349863.0,1662163199999000000,52531023.56,8256,574435.0,22354196.3,0
09/03/2022,39.16,39.29,38.72,39.16,995678.0,1662249599999000000,38877312.13,6523,442722.0,17279530.64,0
09/04/2022,39.15,39.41,38.94,39.37,993927.0,1662335999999000000,38896712.55,6348,487927.0,19096580.84,0
09/05/2022,39.37,39.41,39.03,39.15,1032418.0,1662422399999000000,40437841.68,7383,465460.0,18228177.79,0
09/06/2022,39.15,39.63,38.94,39.61,1460113.0,1662508799999000000,57277477.21,10220,725410.0,28470792.85,0
09/07/2022,39.63,40.0,39.4,39.94,1437425.0,1662595199999000000,57124360.4,9049,689935.0,27409617.46,0
09/08/2022,39.95,39.95,39.72,39.89,1040482.0,1662681599999000000,41450335.72,7085,500585.0,19943258.01,0
09/09/2022,39.88,39.9,39.72,39.84,1429417.0,1662767999999000000,56941186.09,9884,639427.0,25475597.6,0
09/10/2022,39.83,39.84,39.54,39.73,992540.0,1662854399999000000,39451638.61,8175,439547.0,17473031.82,0
09/11/2022,39.73,39.75,39.5,39.62,802325.0,1662940799999000000,31790619.13,6872,362553.0,14367051.35,0
09/12/2022,39.62,39.66,39.31,39.6,1026244.0,1663027199999000000,40570331.28,8455,471082.0,18625918.89,0
09/13/2022,39.6,39.95,39.59,39.93,1406338.0,1663113599999000000,55882820.25,9455,655865.0,26064147.28,0
09/14/2022,39.93,39.97,39.75,39.85,1143593.0,1663199999999000000,45582279.22,8798,568307.0,22653678.4,0
09/15/2022,39.85,40.02,39.81,39.97,1274583.0,1663286399999000000,50875837.68,8552,592144.0,23639188.42,0
09/16/2022,39.98,40.07,39.76,39.94,1121179.0,1663372799999000000,44776757.93,8718,519306.0,20742494.32,0
09/17/2022,39.94,40.58,39.43,39.97,1042757.0,1663459199999000000,41541356.79,7170,477083.0,19038723.81,0
09/18/2022,39.93,40.05,39.58,39.95,762487.0,1663545599999000000,30338043.05,6379,346991.0,13811484.24,0
09/19/2022,39.95,40.18,39.72,40.16,1393765.0,1663631999999000000,55756894.3,9201,713617.0,28553558.76,0
09/20/2022,40.17,40.32,39.85,40.28,1066574.0,1663718399999000000,42718323.11,7530,475207.0,19037620.0,0
09/21/2022,40.29,41.42,40.03,41.3,1658033.0,1663804799999000000,67460456.22,9374,895499.0,36441667.54,0
09/22/2022,41.3,41.39,40.61,40.77,1198967.0,1663891199999000000,48946482.54,7807,530545.0,21652062.77,0
09/23/2022,40.76,40.78,40.48,40.61,1112615.0,1663977599999000000,45214998.87,8047,496170.0,20159897.61,0
09/24/2022,40.6,40.72,40.31,40.33,825680.0,1664063999999000000,33439195.51,6220,418597.0,16944805.78,0
09/25/2022,40.33,40.74,40.31,40.59,727982.0,1664150399999000000,29438198.13,5849,330127.0,13349406.1,0
09/26/2022,40.59,40.79,40.49,40.53,1035310.0,1664236799999000000,42044557.3,7494,432973.0,17585221.19,0
09/27/2022,40.52,40.61,40.0,40.28,1194915.0,1664323199999000000,48120007.65,8577,550408.0,22157133.24,0
09/28/2022,40.3,40.56,40.26,40.4,1003292.0,1664409599999000000,40512648.19,8079,490052.0,19790665.72,0
09/29/2022,40.39,40.49,40.31,40.47,927452.0,1664495999999000000,37504812.75,7353,455135.0,18409216.6,0
09/30/2022,40.47,40.53,40.15,40.21,1371035.0,1664582399999000000,55386103.19,8528,662776.0,26773514.43,0
