Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,5.67,5.79,5.27,5.64,3193075.62,1653436799999000000,17716941.325,41345,1469691.22,8153618.8456,0
05/25/2022,5.64,5.89,5.36,5.47,3361990.3,1653523199999000000,18692482.4602,39449,1602148.3,8907186.053,0
05/26/2022,5.48,5.57,4.77,4.86,4783261.954,1653609599999000000,24128045.61358,59090,2260239.03,11389483.3414,0
05/27/2022,4.85,4.9,4.2,4.42,5688043.71,1653695999999000000,25634313.85232,66958,2650212.61,11937176.5533,0
05/28/2022,4.42,4.57,4.25,4.42,3888275.99,1653782399999000000,17072946.07,38205,1835678.49,8063234.5685,0
05/29/2022,4.42,4.48,4.13,4.46,3282020.38,1653868799999000000,14147729.130917,33067,1596007.94,6877844.3968,0
05/30/2022,4.47,7.8,4.35,7.6,31786341.82,1653955199999000000,198500413.3501,388887,15335865.14,95726672.2557,0
05/31/2022,7.61,10.45,7.34,8.99,49961795.18,1654041599999000000,439750810.5104,774851,24136864.02,212424765.3534,0
06/01/2022,9.0,11.6,7.67,9.23,41121556.83,1654127999999000000,382737629.7523,663598,20328994.78,189277094.7339,0
06/02/2022,9.23,10.45,8.69,9.52,26464494.32,1654214399999000000,255297093.5665,419342,12986430.81,125361214.6086,0
06/03/2022,9.53,10.61,9.24,9.77,16546582.79,1654300799999000000,162218607.4028,273828,8014694.06,78656448.3521,0
06/04/2022,9.76,9.96,8.63,8.88,8507110.06,1654387199999000000,78207996.8986,148855,4118484.3,37852690.1272,0
06/05/2022,8.87,8.91,7.93,8.11,8431102.11,1654473599999000000,70776829.475,147536,4177742.5,35076458.315,0
06/06/2022,8.11,9.02,7.82,8.33,8454436.71,1654559999999000000,71674052.7378,136792,4257529.35,36119993.4012,0
06/07/2022,8.32,8.46,7.42,7.77,6174845.66,1654646399999000000,48880893.4799,106581,3010149.35,23840698.5438,0
06/08/2022,7.77,8.33,7.64,7.66,4751779.08,1654732799999000000,37739734.6379,82333,2387428.38,18960813.2131,0
06/09/2022,7.66,8.27,7.63,7.81,4515921.93,1654819199999000000,35717836.7216,81869,2103898.28,16634300.8619,0
06/10/2022,7.81,7.83,6.88,6.97,4803254.4,1654905599999000000,35085015.4181,83378,2253413.06,16448193.8386,0
06/11/2022,6.97,7.33,6.06,6.38,5540796.11,1654991999999000000,36157034.4933,89095,2686390.81,17547164.7735,0
06/12/2022,6.39,6.44,5.36,5.38,8389351.02,1655078399999000000,48444429.1737,107464,3764563.95,21725293.1738,0
06/13/2022,5.39,5.58,4.5,4.82,12513080.24,1655164799999000000,60661450.0162,142258,6061803.65,29390925.0573,0
06/14/2022,4.82,5.29,4.48,4.85,10919987.09,1655251199999000000,53413392.0573,117388,5474136.18,26788147.4451,0
06/15/2022,4.85,5.2,4.13,5.18,10792611.46,1655337599999000000,48587113.8518,114022,5316145.41,23953204.7725,0
06/16/2022,5.17,5.25,4.24,4.35,7036722.91,1655423999999000000,32436568.4482,84875,3430451.34,15795777.8508,0
06/17/2022,4.35,4.9,4.22,4.56,6896009.94,1655510399999000000,31375556.9959,77363,3407839.64,15527026.0227,0
06/18/2022,4.56,4.87,4.2,4.55,9745400.93,1655596799999000000,44301124.8437,103438,4836460.22,22005492.7055,0
06/19/2022,4.55,4.84,4.32,4.79,5966956.78,1655683199999000000,27372570.2173,65270,2980072.0,13686589.6476,0
06/20/2022,4.79,5.01,4.53,4.85,6250478.02,1655769599999000000,29650907.794,72107,3071420.11,14573607.5128,0
06/21/2022,4.85,7.2,4.69,6.94,25105917.64,1655855999999000000,156828969.9592,335895,12602368.81,78556666.8063,0
06/22/2022,6.94,7.28,5.82,5.87,17821723.0,1655942399999000000,117559578.3934,251615,8678466.58,57388059.6399,0
06/23/2022,5.88,6.61,5.82,6.31,10236360.9,1656028799999000000,63816552.8623,135307,5026682.11,31350580.5492,0
06/24/2022,6.32,6.69,6.18,6.58,9012415.26,1656115199999000000,57659420.1945,107571,4189610.14,26831497.492,0
06/25/2022,6.58,6.8,6.14,6.45,5244317.36,1656201599999000000,33840042.2732,67517,2602462.46,16799372.2107,0
06/26/2022,6.45,6.49,5.86,5.91,4361624.03,1656287999999000000,27161315.4926,54258,2115942.57,13176174.3381,0
06/27/2022,5.9,6.39,5.71,5.9,4712491.09,1656374399999000000,28465984.9156,65874,2281609.75,13774356.7209,0
06/28/2022,5.9,5.95,5.33,5.41,3596610.68,1656460799999000000,20456520.8073,51297,1802209.55,10248236.7941,0
06/29/2022,5.41,5.56,5.15,5.4,4258415.11,1656547199999000000,22712139.3558,58214,2093442.33,11167833.9474,0
06/30/2022,5.41,5.41,4.77,5.07,4338724.61,1656633599999000000,21656940.988,51741,2026062.82,10090388.4128,0
