Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
05/24/2022,0.4052,0.4138,0.3908,0.4086,309724750.0,1653436799999000000,125344682.6655,147275,154087251.0,62396369.6546,0
05/25/2022,0.4087,0.4138,0.3948,0.406,414339536.0,1653523199999000000,167969372.2193,161858,197113019.0,79917672.7424,0
05/26/2022,0.4061,0.4109,0.3753,0.392,626704757.0,1653609599999000000,246729969.605,251980,308901803.0,121570237.2421,0
05/27/2022,0.3921,0.4032,0.3764,0.3819,549974246.0,1653695999999000000,214888250.2271,235251,280708552.0,109682355.9268,0
05/28/2022,0.382,0.389,0.3805,0.3863,232996058.0,1653782399999000000,89731706.8105,101729,121012872.0,46598972.8519,0
05/29/2022,0.3863,0.3908,0.3794,0.3891,190159222.0,1653868799999000000,73294559.5039,80104,96943524.0,37370321.2283,0
05/30/2022,0.3891,0.4197,0.3866,0.4187,371239281.0,1653955199999000000,149384767.0321,167873,194236066.0,78160019.8935,0
05/31/2022,0.4188,0.4342,0.4065,0.4217,422313633.0,1654041599999000000,176780178.8201,207019,202580617.0,84806064.9119,0
06/01/2022,0.4217,0.4266,0.3887,0.398,436983828.0,1654127999999000000,178928611.5763,200731,215019403.0,88095126.204,0
06/02/2022,0.3981,0.4072,0.3907,0.4055,350695114.0,1654214399999000000,139400566.4511,147596,176870397.0,70287103.1895,0
06/03/2022,0.4054,0.4105,0.3839,0.3904,283788604.0,1654300799999000000,112542326.3665,148952,151980865.0,60257602.3993,0
06/04/2022,0.3903,0.3944,0.3846,0.3925,134031506.0,1654387199999000000,52239259.2791,77118,66545797.0,25932690.7373,0
06/05/2022,0.3925,0.3995,0.3895,0.3953,134209649.0,1654473599999000000,52902644.5682,73022,71195640.0,28064605.8534,0
06/06/2022,0.3954,0.4099,0.394,0.4026,253767142.0,1654559999999000000,102110040.337,130186,142292704.0,57276098.7523,0
06/07/2022,0.4027,0.4175,0.3846,0.4076,418785041.0,1654646399999000000,166280541.3817,220088,203201721.0,80682320.4546,0
06/08/2022,0.4076,0.4104,0.3947,0.4006,307076296.0,1654732799999000000,123154505.0433,165487,152660760.0,61224554.0444,0
06/09/2022,0.4007,0.4041,0.3965,0.4002,253775318.0,1654819199999000000,101687547.2932,108685,124321103.0,49825724.7181,0
06/10/2022,0.4002,0.4118,0.3762,0.3815,399808206.0,1654905599999000000,157089536.93,194473,195917016.0,77041301.0298,0
06/11/2022,0.3815,0.3887,0.3557,0.3599,335176735.0,1654991999999000000,124317447.9689,162752,165214003.0,61258649.7717,0
06/12/2022,0.3598,0.3654,0.3394,0.3433,427316144.0,1655078399999000000,149735662.364,211927,202677787.0,71035077.4225,0
06/13/2022,0.3433,0.3507,0.3012,0.3118,1028751993.07,1655164799999000000,328637316.325002,508115,510439919.0,163052865.5242,0
06/14/2022,0.3117,0.3267,0.2936,0.3214,778418633.0,1655251199999000000,243464785.141985,342614,378034381.92,118330382.0822,0
06/15/2022,0.3215,0.3469,0.298,0.3436,865192872.0,1655337599999000000,271227096.2417,404846,432927616.0,135683790.8675,0
06/16/2022,0.3436,0.3475,0.3073,0.3132,589816543.0,1655423999999000000,190349169.8571,238916,289891372.0,93503353.1549,0
06/17/2022,0.3132,0.3397,0.3105,0.321,430655102.0,1655510399999000000,140271381.5595,198729,220129175.0,71720491.8413,0
06/18/2022,0.321,0.3263,0.2872,0.3075,555977925.71,1655596799999000000,170366179.895381,283907,274411148.0,84126288.6719,0
06/19/2022,0.3074,0.333,0.2981,0.3264,393395495.0,1655683199999000000,123246578.6674,201014,197461677.0,61901469.775,0
06/20/2022,0.3262,0.3289,0.3135,0.3227,356161086.0,1655769599999000000,114351278.5238,181160,186248397.0,59800007.5846,0
06/21/2022,0.3226,0.3374,0.3187,0.3294,379691157.0,1655855999999000000,124852730.7156,187784,202444640.0,66561000.3585,0
06/22/2022,0.3294,0.3297,0.319,0.3223,315095128.0,1655942399999000000,101794452.0225,152486,162358105.0,52445619.0636,0
06/23/2022,0.3223,0.3371,0.3213,0.3358,293426615.0,1656028799999000000,96235892.6572,133928,154739109.0,50758562.0221,0
06/24/2022,0.3357,0.3871,0.3348,0.3672,610286919.0,1656115199999000000,223815201.869,364031,307745887.0,112897969.5519,0
06/25/2022,0.3672,0.3741,0.3542,0.3676,216676025.0,1656201599999000000,79123639.7719,134079,105168418.0,38413830.9589,0
06/26/2022,0.3677,0.3751,0.3576,0.3592,194186812.0,1656287999999000000,71039962.3962,118676,95681601.0,35000157.7912,0
06/27/2022,0.3591,0.3671,0.348,0.3537,274516503.0,1656374399999000000,98508600.8805,140953,137911170.0,49526867.6593,0
06/28/2022,0.3537,0.3557,0.3353,0.3375,316153206.0,1656460799999000000,109315246.4689,155206,168250606.0,58219456.6073,0
06/29/2022,0.3375,0.3417,0.3201,0.3296,329827694.0,1656547199999000000,108924493.26,163468,171354767.0,56593950.0059,0
